country,m_pd_bw_30_70,m_pd_bw_30_70_male,m_pd_bw_30_70_female,m_cr_suicide_r,m_cr_suicide_r_male,m_cr_suicide_r_female,Prob_death_growth_rate,crude_suicide_growth_rate,DD_total_cases,DD_perc_of_pop,AD_total_cases,AD_perc_of_pop
grenada,23.84,27.86,20.04,1.66,2.38,0.94,20.15,10.53,4848.0,4.7,5910.0,5.7
guatemala,14.96,15.0,14.94,3.02,4.36,1.72,0.67,15.62,580994.0,3.7,652313.0,4.2
guinea,22.76,22.22,23.24,6.48,7.74,5.22,0.0,0.0,474541.0,3.9,333416.0,2.7
guinea-bissau,21.4,21.64,21.22,4.3,4.98,3.66,14.53,20.0,71467.0,4.0,49420.0,2.8
guyana,31.26,32.58,30.02,26.58,39.5,13.52,6.73,-24.79,33700.0,4.5,42507.0,5.7
haiti,25.6,26.7,24.6,10.36,15.2,5.62,8.93,-34.48,437639.0,4.3,565920.0,5.5
honduras,14.92,16.82,13.2,2.6,3.84,1.4,15.66,-26.09,308862.0,4.0,335907.0,4.3
hungary,25.06,33.98,17.02,24.92,39.6,11.64,18.15,41.23,493783.0,5.1,377347.0,3.9
iceland,10.68,12.24,9.06,13.94,21.3,6.54,32.09,13.58,12533.0,4.1,14944.0,4.9
india,24.54,27.64,21.34,16.86,18.04,15.58,12.41,6.32,56675969.0,4.5,38425093.0,3.0
indonesia,26.6,30.16,23.14,3.62,5.06,2.2,-0.38,12.82,9162886.0,3.7,8114774.0,3.3
iran (islamic republic of),18.66,19.78,17.48,7.22,8.76,5.6,38.08,61.68,3637308.0,4.9,3481366.0,4.6
iraq,22.5,25.76,19.42,2.82,3.34,2.24,11.98,-11.11,1263249.0,3.7,1520493.0,4.5
ireland,12.7,15.1,10.2,11.86,18.9,4.88,42.46,7.26,212555.0,4.8,280677.0,6.3
israel,11.32,13.9,8.94,6.56,10.1,3.06,34.25,28.0,342181.0,4.6,206844.0,2.8
italy,10.94,14.14,7.9,7.7,11.46,4.16,29.63,-5.13,3049986.0,5.1,2988571.0,5.0
jamaica,15.8,17.32,14.3,2.1,3.3,0.9,18.78,4.35,134054.0,4.8,159012.0,5.7
japan,9.66,12.98,6.44,22.38,32.22,12.96,26.32,25.1,5058124.0,4.2,3680899.0,3.1
jordan,21.02,24.4,17.54,3.02,3.74,2.28,18.3,14.71,287844.0,4.0,306823.0,4.3
kazakhstan,33.28,44.64,23.28,30.7,52.88,10.0,31.46,33.82,732699.0,4.4,549157.0,3.3
kenya,14.56,14.9,14.28,3.54,5.66,1.42,22.54,27.27,1952981.0,4.4,1375341.0,3.1
kiribati,28.9,34.72,23.66,14.2,23.32,5.38,3.73,-5.11,3452.0,3.1,3534.0,3.2
kuwait,19.3,20.68,17.08,2.16,2.56,1.66,19.82,-15.0,181756.0,5.0,165624.0,4.6
kyrgyzstan,28.52,36.94,20.84,10.24,16.68,3.94,20.7,34.13,229637.0,4.1,178981.0,3.2
lao people's democratic republic,28.02,29.62,26.6,9.1,12.0,6.22,7.53,14.85,209326.0,3.2,204147.0,3.1
latvia,25.24,36.58,15.78,25.38,44.78,8.92,21.51,38.9,102702.0,4.9,66862.0,3.2
lebanon,18.94,21.48,16.18,3.18,4.04,2.34,15.57,-10.0,255280.0,4.7,300239.0,5.5
lesotho,26.66,28.28,25.54,19.78,16.44,22.88,0.0,-17.78,98988.0,4.8,63601.0,3.1
liberia,17.98,17.84,18.12,6.46,6.86,6.06,2.76,-19.3,155406.0,3.5,119871.0,2.7
libya,21.02,24.7,17.28,5.14,7.74,2.4,11.45,1.89,265833.0,4.5,265210.0,4.5
lithuania,23.32,34.14,14.16,39.74,70.14,13.52,14.46,37.08,169685.0,5.6,95684.0,3.2
luxembourg,11.84,14.88,8.74,14.44,20.66,8.26,33.33,19.64,26350.0,5.0,25754.0,4.9
madagascar,24.62,26.04,23.34,4.28,6.08,2.48,15.81,17.02,1041000.0,4.4,731036.0,3.1
malawi,18.12,20.38,16.2,4.36,7.0,1.8,21.9,40.32,679385.0,4.1,501153.0,3.0
malaysia,18.46,21.32,15.46,5.34,7.58,3.02,15.27,-3.77,1127643.0,3.8,1461481.0,4.9
maldives,18.26,20.64,15.62,3.16,4.06,2.06,50.0,47.73,12739.0,3.7,11394.0,3.3
mali,25.46,22.76,27.62,4.96,7.16,2.8,10.55,12.73,605969.0,3.6,446852.0,2.6
malta,12.26,15.32,9.3,7.12,11.28,2.94,30.32,-15.38,20049.0,5.1,19497.0,4.9
mauritania,17.98,18.02,17.94,3.9,5.84,1.92,0.0,-29.41,160624.0,4.1,109873.0,2.8
mauritius,25.28,31.12,19.6,8.86,14.02,3.76,23.91,29.73,52570.0,4.4,42559.0,3.5
mexico,16.36,17.66,15.14,4.64,7.48,1.84,6.55,-41.67,4936614.0,4.2,4281809.0,3.6
micronesia (federated states of),26.72,29.56,23.92,11.26,15.48,6.92,4.74,-2.78,3182.0,3.1,3362.0,3.3
mongolia,33.48,41.16,25.92,15.54,26.08,5.14,22.37,27.37,117436.0,4.2,91585.0,3.3
montenegro,22.96,29.16,17.0,10.5,15.24,5.9,19.84,0.96,28627.0,4.8,22561.0,3.8
morocco,16.34,18.1,14.66,4.34,3.46,5.22,49.18,57.97,1484441.0,4.5,1477408.0,4.5
mozambique,21.42,22.86,20.32,6.18,9.2,3.34,32.6,44.32,1122987.0,4.1,819845.0,3.0
myanmar,24.88,27.24,22.82,7.54,5.38,9.56,3.2,-6.85,1917983.0,3.7,1727123.0,3.3
namibia,23.2,26.32,20.74,9.88,16.04,4.04,16.8,20.18,104001.0,4.4,72803.0,3.1
